Date,Year,Month,Day_Number,Day_Name,Close,Open,High,Low
6/6/23,2023,6,6,Tuesday,14558.09,14526.1,14593.5,14476.99
6/5/23,2023,6,5,Monday,14556.5,14550.13,14662.95,14516.88
6/2/23,2023,6,2,Friday,14546.64,14517.08,14595.81,14442.15
6/1/23,2023,6,1,Thursday,14441.51,14269.09,14493.31,14219.94
5/31/23,2023,5,31,Wednesday,14254.09,14293.56,14375.38,14216.16
5/30/23,2023,5,30,Tuesday,14354.99,14465.59,14520.17,14301.08
5/26/23,2023,5,26,Friday,14298.41,13990.55,14329.49,13982.16
5/25/23,2023,5,25,Thursday,13938.53,13920.89,13986.87,13812.18
5/24/23,2023,5,24,Wednesday,13604.48,13589.02,13655.73,13520.92
5/23/23,2023,5,23,Tuesday,13672.54,13773.68,13827.1,13662.91
5/22/23,2023,5,22,Monday,13849.74,13805.33,13893.71,13792.97
5/19/23,2023,5,19,Friday,13803.49,13842.69,13874.42,13763.9
5/18/23,2023,5,18,Thursday,13834.62,13608.95,13844.76,13606.81
5/17/23,2023,5,17,Wednesday,13589.26,13474.52,13608.33,13419.35
5/16/23,2023,5,16,Tuesday,13426.01,13385.37,13498.44,13384.77
5/15/23,2023,5,15,Monday,13413.51,13352.26,13419.81,13297.85
5/12/23,2023,5,12,Friday,13340.18,13407.02,13427.42,13256.56
5/11/23,2023,5,11,Thursday,13389.78,13376.85,13411.7,13306.08
5/10/23,2023,5,10,Wednesday,13347.83,13308.41,13384.42,13204.79
5/9/23,2023,5,9,Tuesday,13201.11,13228.64,13254.81,13193.88
5/8/23,2023,5,8,Monday,13291.64,13247.09,13302.43,13193.08
5/5/23,2023,5,5,Friday,13259.13,13070.7,13291.11,13059.91
5/4/23,2023,5,4,Thursday,12982.48,13014.07,13064.02,12938.45
5/3/23,2023,5,3,Wednesday,13030.21,13123.1,13231.71,13026.04
5/2/23,2023,5,2,Tuesday,13113.66,13225.48,13241.53,13046.79
5/1/23,2023,5,1,Monday,13231.47,13229.11,13287.47,13186.4
4/28/23,2023,4,28,Friday,13245.99,13139.35,13247.39,13096.94
4/27/23,2023,4,27,Thursday,13160.03,12963.21,13175.62,12938.5
4/26/23,2023,4,26,Wednesday,12806.48,12866.64,12929.62,12783.42
4/25/23,2023,4,25,Tuesday,12725.11,12905.09,12933.28,12724.24
4/24/23,2023,4,24,Monday,12969.76,12981.71,13044.22,12883.77
4/21/23,2023,4,21,Friday,13000.77,12970.32,13030.85,12899.64
4/20/23,2023,4,20,Thursday,12985.98,12962.29,13107.92,12933.8
4/19/23,2023,4,19,Wednesday,13088.71,12992.51,13128.25,12988.2
4/18/23,2023,4,18,Tuesday,13091.79,13180.31,13196.18,13044.21
4/17/23,2023,4,17,Monday,13087.71,13053.26,13105.68,12981.26
4/14/23,2023,4,14,Friday,13079.52,13044.69,13152.28,12962.51
4/13/23,2023,4,13,Thursday,13109.39,12922.9,13124.41,12920.02
4/12/23,2023,4,12,Wednesday,12848.35,13043.97,13071.98,12833.31
4/11/23,2023,4,11,Tuesday,12964.15,13040.49,13049.56,12947.66
4/10/23,2023,4,10,Monday,13051.23,12936.52,13051.85,12861.52
4/6/23,2023,4,6,Thursday,13062.6,12892.9,13078.1,12846.03
4/5/23,2023,4,5,Wednesday,12967.2,13056.79,13065.28,12894.44
4/4/23,2023,4,4,Tuesday,13100.07,13165.32,13204.08,13049.98
4/3/23,2023,4,3,Monday,13148.35,13084.1,13157.47,13036.55
3/31/23,2023,3,31,Friday,13181.35,12968.96,13188.83,12968
3/30/23,2023,3,30,Thursday,12963.14,12934.99,12987.97,12894.14
3/29/23,2023,3,29,Wednesday,12846.03,12768.14,12867.32,12734.68
3/28/23,2023,3,28,Tuesday,12610.57,12654.91,12654.91,12517.87
3/27/23,2023,3,27,Monday,12673.07,12797.9,12839.42,12647.94
3/24/23,2023,3,24,Friday,12767.05,12700.51,12770.28,12608.15
3/23/23,2023,3,23,Thursday,12729.23,12735.6,12900.1,12611.67
3/22/23,2023,3,22,Wednesday,12567.15,12742.41,12943.62,12563.78
3/21/23,2023,3,21,Tuesday,12741.44,12643.35,12762.45,12582.76
3/20/23,2023,3,20,Monday,12562.61,12487.79,12578.35,12407.82
3/17/23,2023,3,17,Friday,12519.88,12570.16,12674.34,12444.08
3/16/23,2023,3,16,Thursday,12581.39,12211.87,12595.69,12190.65
3/15/23,2023,3,15,Wednesday,12251.32,12083.24,12269.45,12026.18
3/14/23,2023,3,14,Tuesday,12199.79,12078.46,12217.87,12035.22
3/13/23,2023,3,13,Monday,11923.17,11752.1,12073.95,11695.41
3/10/23,2023,3,10,Friday,11830.28,12001.7,12069.62,11789.86
3/9/23,2023,3,9,Thursday,11995.88,12230.84,12340.45,11970.34
3/8/23,2023,3,8,Wednesday,12215.33,12181.06,12237.72,12102.28
3/7/23,2023,3,7,Tuesday,12152.17,12303.19,12344.04,12130.01
3/6/23,2023,3,6,Monday,12302.48,12344.65,12466.88,12297.57
3/3/23,2023,3,3,Friday,12290.81,12110.71,12300.46,12095.24
3/2/23,2023,3,2,Thursday,12044.87,11830.09,12074.59,11830.09
3/1/23,2023,3,1,Wednesday,11938.57,12026.72,12054.48,11906.58
2/28/23,2023,2,28,Tuesday,12042.12,12041.75,12146.52,12021.32
2/27/23,2023,2,27,Monday,12057.79,12106.79,12159.64,12034.61
2/24/23,2023,2,24,Friday,11969.65,11979.8,12018.32,11900.84
2/23/23,2023,2,23,Thursday,12180.14,12224.44,12227.4,12003.31
2/22/23,2023,2,22,Wednesday,12066.27,12085.67,12156.21,12006.04
2/21/23,2023,2,21,Tuesday,12060.3,12205.21,12257.06,12058.23
2/17/23,2023,2,17,Friday,12358.18,12352.3,12385.52,12233.79
2/16/23,2023,2,16,Thursday,12442.48,12495.07,12653.4,12440
2/15/23,2023,2,15,Wednesday,12687.89,12531.6,12689.34,12486.42
2/14/23,2023,2,14,Tuesday,12590.89,12413.1,12627.4,12356.32
2/13/23,2023,2,13,Monday,12502.31,12356.5,12522.78,12313.45
2/10/23,2023,2,10,Friday,12304.92,12306.59,12375.72,12204.21
2/9/23,2023,2,9,Thursday,12381.17,12677.54,12679.54,12327.44
2/8/23,2023,2,8,Wednesday,12495.38,12680.03,12709.45,12471.11
2/7/23,2023,2,7,Tuesday,12728.27,12474.95,12771.59,12419.71
2/6/23,2023,2,6,Monday,12464.51,12468.8,12558.87,12411.88
2/3/23,2023,2,3,Friday,12573.36,12520.95,12828.71,12520.95
2/2/23,2023,2,2,Thursday,12803.14,12655.18,12880.98,12600.76
2/1/23,2023,2,1,Wednesday,12363.1,12087.92,12458.87,12010.73
1/31/23,2023,1,31,Tuesday,12101.93,11915.94,12104.13,11915.94
1/30/23,2023,1,30,Monday,11912.39,12047.16,12087.68,11906.11
1/27/23,2023,1,27,Friday,12166.6,12000.21,12248.15,11999.87
1/26/23,2023,1,26,Thursday,12051.48,11972.57,12055.81,11853.37
1/25/23,2023,1,25,Wednesday,11814.69,11636.01,11841.81,11550.07
1/24/23,2023,1,24,Tuesday,11846.64,11802.95,11889.37,11780.07
1/23/23,2023,1,23,Monday,11872.54,11652,11918.86,11617.83
